w [g],t [h]
6563.06,6.0
6563.25,6.05
6562.87,6.1
6562.21,6.15
6561.73,6.2
6561.58,6.25
6561.44,6.3
6561.79,6.35
6560.76,6.4
6560.86,6.45
6561.16,6.5
6560.79,6.55
6560.76,6.6
6560.67,6.65
6562.22,6.7
6560.96,6.75
6560.53,6.8
6560.49,6.85
6560.74,6.9
6560.88,6.95
6560.47,7.0
6560.38,7.05
6560.84,7.1
6561.17,7.15
6561.42,7.2
6561.94,7.25
6562.6,7.3
6562.67,7.35
6562.64,7.4
6562.41,7.45
6562.36,7.5
6561.94,7.55
6561.97,7.6
6562.07,7.65
6563.26,7.7
6561.89,7.75
6561.47,7.8
6561.15,7.85
6561.43,7.9
6562.16,7.95
6561.08,8.0
6561.15,8.05
6560.97,8.1
6560.45,8.15
6561.66,8.2
6560.38,8.25
6559.72,8.3
6560.05,8.35
6559.56,8.4
6560.52,8.45
6559.11,8.5
6558.89,8.55
6559.26,8.6
6559.33,8.65
6558.5,8.7
6558.01,8.75
6557.79,8.8
6557.6,8.85
6556.95,8.9
6557.46,8.95
6557.07,9.0
6556.73,9.05
6556.42,9.1
6554.95,9.15
6554.26,9.2
6554.32,9.25
6553.24,9.3
6553.27,9.35
6552.28,9.4
6551.31,9.45
6552.23,9.5
6550.69,9.55
6551.45,9.6
6551.39,9.65
6550.36,9.7
6549.72,9.75
6549.21,9.8
6548.62,9.85
6548.92,9.9
6548.52,9.95
6547.62,10.0
6547.23,10.05
6545.52,10.1
6544.8,10.15
6543.73,10.2
6543.08,10.25
6541.96,10.3
6541.87,10.35
6541.07,10.4
6539.83,10.45
6538.42,10.5
6537.13,10.55
6536.75,10.6
6535.4,10.65
6534.04,10.7
6533.28,10.75
6532.13,10.8
6530.61,10.85
6529.24,10.9
6527.87,10.95
6526.42,11.0
6525.38,11.05
6524.29,11.1
6523.46,11.15
6522.75,11.2
6520.72,11.25
6520.11,11.3
6519.26,11.35
6517.97,11.4
6515.81,11.45
6514.5,11.5
6513.19,11.55
6512.39,11.6
6511.52,11.65
6510.29,11.7
6508.36,11.75
6506.4,11.8
6505.32,11.85
6503.83,11.9
6502.36,11.95
6500.84,12.0
6499.88,12.05
6497.6,12.1
6495.0,12.15
6494.44,12.2
6492.38,12.25
6491.57,12.3
6489.7,12.35
6488.66,12.4
6487.79,12.45
6486.92,12.5
6484.14,12.55
6482.93,12.6
6481.27,12.65
6479.36,12.7
6477.65,12.75
6476.63,12.8
6475.03,12.85
6473.65,12.9
6471.78,12.95
6470.46,13.0
6469.01,13.05
6468.27,13.1
6467.02,13.15
6465.76,13.2
6464.58,13.25
6462.88,13.3
6461.36,13.35
6460.54,13.4
6458.75,13.45
6456.72,13.5
6455.5,13.55
6453.89,13.6
6451.41,13.65
6449.8,13.7
6448.59,13.75
6446.52,13.8
6444.96,13.85
6442.87,13.9
6441.13,13.95
6440.33,14.0
6439.91,14.05
6438.27,14.1
6436.96,14.15
6435.9,14.2
6435.15,14.25
6434.24,14.3
6432.94,14.35
6431.19,14.4
6429.66,14.45
6428.96,14.5
6428.2,14.55
6427.51,14.6
6426.81,14.65
6424.65,14.7
6423.46,14.75
6422.07,14.8
6422.9,14.85
6420.31,14.9
6418.48,14.95
6416.59,15.0
6414.77,15.05
6414.08,15.1
6411.98,15.15
6411.59,15.2
6410.19,15.25
6408.37,15.3
6406.78,15.35
6405.03,15.4
6404.35,15.45
6402.83,15.5
6401.4,15.55
6400.17,15.6
6398.6,15.65
6397.05,15.7
6395.65,15.75
6394.24,15.8
6393.22,15.85
6392.0,15.9
6391.04,15.95
6389.97,16.0
6388.06,16.05
6386.35,16.1
6385.2,16.15
6383.65,16.2
6382.2,16.25
6381.13,16.3
6380.64,16.35
6378.33,16.4
6377.38,16.45
6376.22,16.5
6374.29,16.55
6373.41,16.6
6371.21,16.65
6370.14,16.7
6368.66,16.75
6367.56,16.8
6366.41,16.85
6364.66,16.9
6363.86,16.95
6362.63,17.0
6361.66,17.05
6360.72,17.1
6359.21,17.15
6357.93,17.2
6356.86,17.25
6355.95,17.3
6354.74,17.35
6353.48,17.4
6352.53,17.45
6351.21,17.5
6350.02,17.55
6349.02,17.6
6348.14,17.65
6346.75,17.7
6346.04,17.75
6344.91,17.8
6343.3,17.85
6342.05,17.9
6341.3,17.95
6339.49,18.0
6338.6,18.05
6338.53,18.1
6337.81,18.15
6336.91,18.2
6336.25,18.25
6335.06,18.3
6334.21,18.35
6333.71,18.4
6332.56,18.45
6332.22,18.5
6332.01,18.55
6331.8,18.6
6331.09,18.65
6330.38,18.7
6330.12,18.75
6329.76,18.8
6329.71,18.85
6328.62,18.9
6328.67,18.95
6327.91,19.0
6328.09,19.05
6327.66,19.1
6327.44,19.15
6327.18,19.2
6326.84,19.25
6326.74,19.3
6326.98,19.35
6326.01,19.4
6326.05,19.45
6325.75,19.5
6325.83,19.55
6326.13,19.6
6326.11,19.65
6325.56,19.7
6325.3,19.75
6324.94,19.8
6325.04,19.85
6325.18,19.9
6324.55,19.95
6324.45,20.0
6324.47,20.05
6323.39,20.1
6324.23,20.15
6323.2,20.2
6324.47,20.25
6323.87,20.3
6323.67,20.35
6323.54,20.4
6323.42,20.45
